"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"s0808",-2.13667608906368,0.261219152587729,-8.17963027556371,2.22044604925031e-16,0.385766249159221,-5.53878441600471,3.04578293697233e-08
"s0901",-1.75354079146909,0.500705358068852,-3.50214105603392,0.000461535202591401,0.602063245149642,-2.91255246952212,0.00358487968269916
"s0902",1.96494294362404,0.489758821996676,4.01206237717834,6.01905898069965e-05,0.575275498139254,3.41565554239614,0.000636286788388229
"s0903",0.112957859679338,0.488049534506602,0.231447530819865,0.816967143128009,0.527768405829389,0.214029218937091,0.83052427167596
"s0904",-2.97968928775339,0.646743779478659,-4.60721754472121,4.08092989490072e-06,0.789400874122416,-3.77462121645853,0.000160250972286224
"s0905",0.455666852915584,0.48585385205111,0.937868149016239,0.348312173413962,0.597331730121893,0.762837180644329,0.445560504232863
"s0906",-1.67284550056911,0.533834271982958,-3.13364200907377,0.00172651352586395,0.510892445327021,-3.27435943880189,0.00105901810745768
"s0907",1.83266213098608,0.445948900832033,4.10957876018255,3.96381508744881e-05,0.581064976408022,3.15397107964598,0.00161065046260966
"s0908",0.573317753870464,0.57941755895268,0.989472522901721,0.322432006964974,0.679214765434249,0.84408906143835,0.398619639728973
"s0909",2.02958996705557,0.485658113369428,4.17905088205891,2.92728193489467e-05,0.503761501189103,4.02887073002766,5.60454242586328e-05
"s1001",-2.70520851171974,0.608695260249367,-4.44427398795826,8.81891600057472e-06,0.896302637314793,-3.0181864909203,0.00254292363662212
"s1002",0.941756213934814,0.517970506208166,1.81816571145913,0.0690388089936766,0.518553020530305,1.8161232827681,0.0693514629159875
"s1003",-1.31881391380535,0.5753745704583,-2.29209628217473,0.0219000878942235,0.679623696409619,-1.94050607824963,0.0523182162049571
"s1004",-2.08473522771074,0.73424077763295,-2.83930733788924,0.0045211587964209,0.995029205254375,-2.09514978726457,0.0361576792900209
"s1005",0.833471420056785,0.587168084544545,1.41947670862133,0.155760082570493,0.807568120089452,1.03207568417196,0.302036663837693
"s1006",-0.332163596808953,0.557884938190255,-0.59539803653146,0.551577437682739,0.706139100812602,-0.470394000879868,0.638073549449489
"s1007",-0.940960984867207,0.476554813252725,-1.97450735718034,0.048324081708224,0.467071412231406,-2.01459768297919,0.043946820458566
"s1008",2.18971261653574,0.5348639311107,4.0939620138314,4.24063816120146e-05,0.572039357866582,3.82790552157506,0.000129238343294258
"s1009",1.3885318825304,0.546511861032112,2.54071682892316,0.0110625475532198,0.56343778589351,2.46439255103994,0.0137245706880589
"s1010",-2.64860755729425,0.531689666934265,-4.98149150154861,6.30960558245519e-07,0.678942742511912,-3.90107647000554,9.57658913278703e-05
"s1101",-0.0271107606594025,0.0627581087382833,-0.431988171798819,0.665750009930446,0.0652493112399202,-0.41549497066286,0.67777959613199
"s1102",0.11475160932428,0.0529667830573064,2.16648251414715,0.0302743346275693,0.0456887275412132,2.51159564951265,0.012018671080021
"s1103",-0.117176102103511,0.0650850891346983,-1.80035248720343,0.0718049980390589,0.0730882076156897,-1.60321488138885,0.108887221096797
"s1104",-0.48228906081366,0.0693654006469202,-6.95287645304004,3.57913698678658e-12,0.0877836123292744,-5.49406715008041,3.92781027702682e-08
"s1105",0.247909561732067,0.0558090961963524,4.44209956133048,8.90853197144104e-06,0.069257836009247,3.57951642755583,0.00034423060968547
"s1106",-0.0140108251086607,0.0539283394513327,-0.259804497064196,0.795014581890272,0.0676323139117513,-0.207161699760006,0.83588357761154
"s1107",-0.313682791063763,0.0542596044524839,-5.78114776598603,7.41926853287111e-09,0.0755961101550036,-4.14945676993938,3.33265216414524e-05
"s1108",0.277609220207021,0.0553655032796435,5.01411896871695,5.32770163097496e-07,0.0661653541726969,4.19568856961663,2.72043839733005e-05
"s1109",0.248014910653123,0.0496939205166645,4.99085014976738,6.01141211697964e-07,0.0734623572924531,3.37608157148807,0.000735261165629941
"s1110",-0.0229246647623577,0.0454611647645969,-0.504269190661176,0.614072224646207,0.0502435261382184,-0.456271016872754,0.64819510290432
"s1111",-0.265887834102975,0.0557989853972464,-4.76510159118585,1.88758520303089e-06,0.0620313091784013,-4.28634890387827,1.8163364155388e-05
"s1201",-0.0924364596109153,0.0498525389511775,-1.85419763076544,0.0637108909339652,0.0464417907291366,-1.99037242448368,0.0465499252365538
"s1202",-0.0110386170056756,0.0573405602923011,-0.19250975137677,0.847342930274856,0.0779938370638604,-0.141531913561802,0.887449750406225
"s1203",0.123870853841515,0.0642799768698185,1.92705193550989,0.0539731578597979,0.0841238823448023,1.47248142131386,0.140890920383997
"s1204",0.0198371925437033,0.0629401250919868,0.315175613564659,0.752628320245034,0.0644485941109591,0.307798685407322,0.758235521953327
"s1205",-0.0755523014751543,0.0550084076745644,-1.37346825092865,0.169606824740489,0.0590248189046776,-1.28000903479548,0.200541958436121
"s1206",-0.150347848860676,0.0602271745439982,-2.49634571103516,0.0125480242754477,0.0574455730056657,-2.61722254638922,0.00886485236830636
"s1207",0.254279546373155,0.0541678373170767,4.69429017231582,2.67534055131691e-06,0.0744679035901791,3.41461937444268,0.000638711982873685
"s1208",-0.0325687406292273,0.0622038736167419,-0.523580586474305,0.600570287121742,0.0694593525602851,-0.46888920539477,0.639148832526947
"s1209",0.108573246602411,0.0510954188043848,2.12491157021485,0.0335939923457396,0.0467343452820552,2.32320033472471,0.0201683928099079
"s1210",0.100206522055771,0.0288259328937449,3.47626293397481,0.000508453527585662,0.0437230237584768,2.29184794284369,0.0219144190609544
"s1211",0.0225016781938946,0.0258922293850782,0.869051399910061,0.384819017484718,0.0275210828731505,0.817616018149022,0.413576478132335
"s1212",-0.193939372244316,0.0294423208413101,-6.58709526635559,4.48514558826218e-11,0.0435329592443925,-4.45500089152101,8.38928461410759e-06
"s1301",-0.14465379854854,0.0629557432637834,-2.29770615116787,0.0215785192315192,0.0863264900406416,-1.67565944683305,0.0938049174499833
"s1302",-0.126723265823207,0.0588127444578557,-2.1546905690486,0.0311860562966415,0.0558430922573553,-2.26927379377914,0.0232516811545822
"s1303",-0.0452240529532277,0.056319302100215,-0.802993845214126,0.421978291987962,0.0634158105480208,-0.713135298002417,0.475762038996188
"s1304",0.207060353438351,0.0714203546088975,2.89917845650903,0.0037414187883904,0.0798860437078303,2.59194652567399,0.00954346042700638
"s1305",-0.0310243205043412,0.0670290369612373,-0.462848966818403,0.643472629585611,0.0932126811691584,-0.332833688669888,0.739259826785078
"s1306",0.0793497795727537,0.0633560065864468,1.25244288344601,0.210408528468237,0.079664994835481,0.996043240028092,0.319229136288761
"s1307",0.00768087338500719,0.0540113355460913,0.142208543953752,0.88691528328163,0.0535141723085693,0.1435297053782,0.885871852617884
"s1308",0.135683268181252,0.0591815020987217,2.29266347371374,0.0218673869808319,0.0637908994458832,2.12700039284379,0.0334200505527291
"s1309",-0.00435534176086696,0.0595595312591294,-0.0731258569164673,0.94170596589305,0.06753291306355,-0.0644921352166237,0.948578369264452
"s1310",-0.182835857669451,0.0557235252940976,-3.28112510298802,0.00103393873361268,0.0670395861465895,-2.72728201617564,0.00638584349739135
"s1311",-0.118694105071712,0.0304740206401606,-3.89492763272888,9.82280520192003e-05,0.0363714011433109,-3.26339105287785,0.00110087501835077
"s1312",-0.131507641992868,0.0227070508655454,-5.79148929429717,6.97650071046496e-09,0.0233534102697581,-5.63119649223848,1.78963692754053e-08
"s1313",0.0206267546038711,0.0230901378095239,0.893314486644737,0.371688782227107,0.0208202875517858,0.990704597742307,0.321829845359481
